Postcode,Country,State,Dwelling Types,Number of Bedrooms,"Median Weekly Rent for New Bonds
$"
2000,Australia,NSW,Flat/Unit,1 Bedroom,850
2007,Australia,NSW,Flat/Unit,1 Bedroom,649
2008,Australia,NSW,Flat/Unit,1 Bedroom,810
2009,Australia,NSW,Flat/Unit,1 Bedroom,720
2010,Australia,NSW,Flat/Unit,1 Bedroom,700
2011,Australia,NSW,Flat/Unit,1 Bedroom,670
2015,Australia,NSW,Flat/Unit,1 Bedroom,725
2016,Australia,NSW,Flat/Unit,1 Bedroom,750
2017,Australia,NSW,Flat/Unit,1 Bedroom,830
2018,Australia,NSW,Flat/Unit,1 Bedroom,800
2019,Australia,NSW,Flat/Unit,1 Bedroom,710
2020,Australia,NSW,Flat/Unit,1 Bedroom,800
2021,Australia,NSW,Flat/Unit,1 Bedroom,600
2022,Australia,NSW,Flat/Unit,1 Bedroom,850
2023,Australia,NSW,Flat/Unit,1 Bedroom,650
2024,Australia,NSW,Flat/Unit,1 Bedroom,723
2025,Australia,NSW,Flat/Unit,1 Bedroom,650
2026,Australia,NSW,Flat/Unit,1 Bedroom,800
2027,Australia,NSW,Flat/Unit,1 Bedroom,700
2029,Australia,NSW,Flat/Unit,1 Bedroom,670
2031,Australia,NSW,Flat/Unit,1 Bedroom,750
2032,Australia,NSW,Flat/Unit,1 Bedroom,590
2033,Australia,NSW,Flat/Unit,1 Bedroom,730
2034,Australia,NSW,Flat/Unit,1 Bedroom,770
2035,Australia,NSW,Flat/Unit,1 Bedroom,700
2036,Australia,NSW,Flat/Unit,1 Bedroom,820
2037,Australia,NSW,Flat/Unit,1 Bedroom,700
2038,Australia,NSW,Flat/Unit,1 Bedroom,525
2039,Australia,NSW,Flat/Unit,1 Bedroom,725
2040,Australia,NSW,Flat/Unit,1 Bedroom,600
2041,Australia,NSW,Flat/Unit,1 Bedroom,615
2042,Australia,NSW,Flat/Unit,1 Bedroom,565
2043,Australia,NSW,Flat/Unit,1 Bedroom,748
2044,Australia,NSW,Flat/Unit,1 Bedroom,688
2046,Australia,NSW,Flat/Unit,1 Bedroom,685
2047,Australia,NSW,Flat/Unit,1 Bedroom,650
2048,Australia,NSW,Flat/Unit,1 Bedroom,580
2049,Australia,NSW,Flat/Unit,1 Bedroom,600
2050,Australia,NSW,Flat/Unit,1 Bedroom,725
2060,Australia,NSW,Flat/Unit,1 Bedroom,720
2061,Australia,NSW,Flat/Unit,1 Bedroom,738
2062,Australia,NSW,Flat/Unit,1 Bedroom,595
2064,Australia,NSW,Flat/Unit,1 Bedroom,610
2065,Australia,NSW,Flat/Unit,1 Bedroom,720
2066,Australia,NSW,Flat/Unit,1 Bedroom,680
2067,Australia,NSW,Flat/Unit,1 Bedroom,750
2068,Australia,NSW,Flat/Unit,1 Bedroom,620
2070,Australia,NSW,Flat/Unit,1 Bedroom,705
2071,Australia,NSW,Flat/Unit,1 Bedroom,650
2072,Australia,NSW,Flat/Unit,1 Bedroom,650
2077,Australia,NSW,Flat/Unit,1 Bedroom,570
2088,Australia,NSW,Flat/Unit,1 Bedroom,615
2089,Australia,NSW,Flat/Unit,1 Bedroom,640
2090,Australia,NSW,Flat/Unit,1 Bedroom,650
2093,Australia,NSW,Flat/Unit,1 Bedroom,660
2095,Australia,NSW,Flat/Unit,1 Bedroom,750
2096,Australia,NSW,Flat/Unit,1 Bedroom,670
2097,Australia,NSW,Flat/Unit,1 Bedroom,625
2099,Australia,NSW,Flat/Unit,1 Bedroom,620
2100,Australia,NSW,Flat/Unit,1 Bedroom,605
2101,Australia,NSW,Flat/Unit,1 Bedroom,650
2103,Australia,NSW,Flat/Unit,1 Bedroom,650
2107,Australia,NSW,Flat/Unit,1 Bedroom,620
2111,Australia,NSW,Flat/Unit,1 Bedroom,550
2112,Australia,NSW,Flat/Unit,1 Bedroom,650
2113,Australia,NSW,Flat/Unit,1 Bedroom,710
2114,Australia,NSW,Flat/Unit,1 Bedroom,580
2117,Australia,NSW,Flat/Unit,1 Bedroom,405
2118,Australia,NSW,Flat/Unit,1 Bedroom,625
2119,Australia,NSW,Flat/Unit,1 Bedroom,630
2120,Australia,NSW,Flat/Unit,1 Bedroom,458
2121,Australia,NSW,Flat/Unit,1 Bedroom,660
2122,Australia,NSW,Flat/Unit,1 Bedroom,540
2127,Australia,NSW,Flat/Unit,1 Bedroom,680
2130,Australia,NSW,Flat/Unit,1 Bedroom,550
2131,Australia,NSW,Flat/Unit,1 Bedroom,550
2134,Australia,NSW,Flat/Unit,1 Bedroom,685
2135,Australia,NSW,Flat/Unit,1 Bedroom,580
2137,Australia,NSW,Flat/Unit,1 Bedroom,690
2138,Australia,NSW,Flat/Unit,1 Bedroom,720
2140,Australia,NSW,Flat/Unit,1 Bedroom,600
2141,Australia,NSW,Flat/Unit,1 Bedroom,660
2142,Australia,NSW,Flat/Unit,1 Bedroom,500
2144,Australia,NSW,Flat/Unit,1 Bedroom,560
2145,Australia,NSW,Flat/Unit,1 Bedroom,555
2148,Australia,NSW,Flat/Unit,1 Bedroom,440
2150,Australia,NSW,Flat/Unit,1 Bedroom,600
2153,Australia,NSW,Flat/Unit,1 Bedroom,600
2154,Australia,NSW,Flat/Unit,1 Bedroom,650
2155,Australia,NSW,Flat/Unit,1 Bedroom,590
2160,Australia,NSW,Flat/Unit,1 Bedroom,615
2161,Australia,NSW,Flat/Unit,1 Bedroom,445
2165,Australia,NSW,Flat/Unit,1 Bedroom,350
2166,Australia,NSW,Flat/Unit,1 Bedroom,360
2170,Australia,NSW,Flat/Unit,1 Bedroom,500
2174,Australia,NSW,Flat/Unit,1 Bedroom,595
2190,Australia,NSW,Flat/Unit,1 Bedroom,418
2192,Australia,NSW,Flat/Unit,1 Bedroom,480
2193,Australia,NSW,Flat/Unit,1 Bedroom,600
2194,Australia,NSW,Flat/Unit,1 Bedroom,550
2195,Australia,NSW,Flat/Unit,1 Bedroom,410
2196,Australia,NSW,Flat/Unit,1 Bedroom,520
2200,Australia,NSW,Flat/Unit,1 Bedroom,520
2203,Australia,NSW,Flat/Unit,1 Bedroom,550
2204,Australia,NSW,Flat/Unit,1 Bedroom,620
2205,Australia,NSW,Flat/Unit,1 Bedroom,715
2207,Australia,NSW,Flat/Unit,1 Bedroom,490
2210,Australia,NSW,Flat/Unit,1 Bedroom,570
2216,Australia,NSW,Flat/Unit,1 Bedroom,620
2217,Australia,NSW,Flat/Unit,1 Bedroom,650
2219,Australia,NSW,Flat/Unit,1 Bedroom,590
2220,Australia,NSW,Flat/Unit,1 Bedroom,650
2228,Australia,NSW,Flat/Unit,1 Bedroom,650
2229,Australia,NSW,Flat/Unit,1 Bedroom,528
2230,Australia,NSW,Flat/Unit,1 Bedroom,525
2232,Australia,NSW,Flat/Unit,1 Bedroom,575
2250,Australia,NSW,Flat/Unit,1 Bedroom,435
2257,Australia,NSW,Flat/Unit,1 Bedroom,400
2260,Australia,NSW,Flat/Unit,1 Bedroom,440
2261,Australia,NSW,Flat/Unit,1 Bedroom,390
2287,Australia,NSW,Flat/Unit,1 Bedroom,350
2290,Australia,NSW,Flat/Unit,1 Bedroom,475
